NTEE_CD,text
B21,"WE STRIVE TO PROVIDE CHILDREN WITH HIGH QUALITY CHILD CARE AND DEVELOPMENTALLY APPROPRIATE LEARNING OPPORTUNITIES, PARENTS WITH SAFE, HEALTHY, AND EDUCATIONAL CHILD CARE, AND THE COMMUNITY WITH RELIABLE CHILD CARE FOR WORKING PARENTS. THE ORGANIZATION PROVIDES QUALITY CARE AND EDUCATION TO 80 CHILDREN IN MACON COUNTY AND SURROUNDING AREAS"
P82Z,"PROVIDED TRANSPORTATION, DEVELOPMENT, TRAINING AND RECREATIONAL SERVICES TO APPROXIMATELY 50 MENTALLY AND PHYSICALLY IMPAIRED CLIENTS. PROVIDE TRANSPORTATION, DEVELOPMENT, TRAINING AND RECREATIONAL SERVICES TO MENTALLY AND PHYSICALLY IMPAIRED INDIVIDUALS."
P82Z,"PROVIDED TRANSPORTATION, DEVELOPMENT, TRAINING AND RECREATIONAL SERVICES TO APPROXIMATELY 50 MENTALLY AND PHYSICALLY IMPAIRED CLIENTS. PROVIDE TRANSPORTATION, DEVELOPMENT, TRAINING AND RECREATIONAL SERVICES TO MENTALLY AND PHYSICALLY IMPAIRED INDIVIDUALS."
E24Z,"THE FUNDRAISING ACTIVITIES OF THE KANSAS CITY HOSPICE FOUNDATION CONTRIBUTE TO THE ABILITY OF KANSAS CITY HOSPICE, INC TO FULFILL ITS MISSION. TO SUPPORT KANSAS CITY HOSPICE'S MISSION TO PROVIDE SERVICES TO THOSE WITH LIFE-LIMITING ILLNESSES."
I720,"SEXUAL ASSAULT VICTIM SERVICES - PROVIDING FORENSIC INTERVIEWING, ADVOCACY, MENTAL HEALTH THERAPY, IN COORDINATION WITH LAW ENFORCEMENT, DFS, JUVENILE AND PROSECUTOR OFFICERS. TO LESSEN THE TRAUMA TO ABUSED CHILDREN BY USING A MULTIDISCIPLINARY APPROACH TO FACILITATE THE INVESTIGATION, DETECTION, TREATMENT, AND PREVENTION OF CHILD SEXUAL ABUSE AND SEVERE PHYSICAL ABUSE. ITS MOST SIGNFICANT ACTIVITIES ARE PREVENTION AND VICTIM SERVICES."
I720,"SEXUAL ASSAULT VICTIM SERVICES - PROVIDING FORENSIC INTERVIEWING, ADVOCACY, MENTAL HEALTH THERAPY, IN COORDINATION WITH LAW ENFORCEMENT, DFS, JUVENILE AND PROSECUTOR OFFICERS. TO LESSEN THE TRAUMA TO ABUSED CHILDREN BY USING A MULTIDISCIPLINARY APPROACH TO FACILITATE THE INVESTIGATION, DETECTION, TREATMENT, AND PREVENTION OF CHILD SEXUAL ABUSE AND SEVERE PHYSICAL ABUSE. ITS MOST SIGNFICANT ACTIVITIES ARE PREVENTION AND VICTIM SERVICES."
D200,"CENTRAL MISSOURI HUMANE SOCIETY PROVIDES PET ADOPTION SERVICES, UNWANTED ANIMAL INTAKE, ANIMAL RESCUE AND LOST & FOUND SERVICES, ANIMAL WELFARE INVESTIGATIONS, AND VETERINARY SERVICES. IT SERVES AS THE MAIN ANIMAL SHELTER FOR 20 COUNTIES IN THE MID-MISSOURI AREA. IN ADDITION TO THESE SERVICES, CMHS ALSO OFFERS A WIDE VARIETY OF VOLUNTEER SERVICES TO THE COMMUNITY. TOTAL INTAKES FOR THE FISCAL YEAR: 2,751 TOTAL ADOPTIONS FOR THE FISCAL YEAR: 2,034 TOTAL RESCUES FOR THE FISCAL YEAR: 138 IN CONTINUOUS OPERATION SINCE 1943, THE CENTRAL MISSOURI HUMANE SOCIETY PROMOTES THE WELL-BEING OF COMPANION ANIMALS - PETS THAT ENRICH THE LIVES OF THE PEOPLE WHO LOVE THEM."
P75,PROVIDE DAY CARE FOR THE ELDERLY SO THEIR RELATIVES ARE ABLE TO WORK. CARE FOR THE ELDERLY
X99,"THE ORGANIZATION IS A CHRISTIAN RETREAT CENTER THAT HOSTS DIFFERENT EVENTS FOR CHURCH GROUPS OF 20 TO 800 PERSONS, TO WHICH THEY PROVIDE LODGING, DINING AND RECREATION. PINECREST CAMP AND CONFERENCE CENTER IS A CHRISTIAN RETREAT CENTER THAT HOSTS SEMINARS, RETREATS, BANQUETS, YOUTH CAMPS AND OTHER GROUP ACTIVITIES TO WHICH THEY PROVIDING LODGING, DINING AND RECREATION FOR MEETINGS OF ALL SIZES."
L22,"PEOPLE'S HEALTH AND HOUSING PROVIDES LOW INCOME HOUSING, 60 APARTMENT UNITS, FOR THE ELDERLY SUBJECT TO SECTION 202 OF THE NATIONAL HOUSING ACT, AS AMENDED. LOW INCOME HOUSING FOR THE ELDERLY"
W99,"PROVISION OF BASIC SERVICES AND GOODS WHEN INDIVIDUALS ARE FIRST RELEASED FROM PRISON. THIS INCLUDES SUCH THINGS AS CLOTHES, SHOES, FOOD, BUS PASSES, CELL PHONES, PRESCRIPTIONS, GLASSES MEDICAL & DENTAL COPAYMENTS, ETC. IN ADDITION, PROVIDES A BUILDING TO HOUSE WOMEN WHO HAVE NOWHERE ELSE TO STAY WHICH INCLUDES ROOM AND BOARD AND ALL EMERGENCY SERVICES. STAYS ARE UP TO 90 DAYS. INCLUDES PERMANENT HOUSING (APARTMENT OR HOUSE) AT SCATTERED SITES THROUGHOUT METROPOLITAN KANSAS CITY AREA. JTNL PROVIDES CASE MANAGEMENT, HOUSING COUNSELING, LEASE NEGOTIATION W/ LANDLORDS, RENTAL APPLICATION FEES, RENTAL DEPOSITS AND UP TO THREE MONTHS OF RENT TO FACILITATE THE ACQUISION AND MAINTENANCE OF PERMANENT HOUSING FOR THESE PERSONS. (1)TO SERVE MEN AND WOMEN RETURNING TO THE COMMUNITY FROM PRISON BY PROVIDING BASIC NEEDS (CLOTHING, FOOD, SHELTER, TRANSPORTATION).(2)PROVIDE TRAINED VOLUNTEERS TO SERVE AS MENTORS (3) TO PROVIDE PROFESSIONAL CASE- MANAGEMENT TO ESTABLISH GOALS TO BECOME SUCCESSFUL AND PRODUCTIVE CITIZENS."
E50,"EQUI-LIBRIUM THERAPY CENTER, INC. SERVES CHILDREN AND ADULTS WITH DISABILITIES BY PROVIDING ACCREDITED EQUINE-ASSISTED THERAPY SERVICES INCLUDING THERAPEUTIC RIDING, HIPPOTHERAPY, AND EQUINE FACILITATED THERAPIES. TO PROVIDE EXCEPTIONAL ACCREDITED EQUINE THERAPY SERVICES, IMPROVING THE QUALITY OF LIFE FOR THOSE IN THE OZARKS."
P30,"PROVIDE NEW PARENTS IN NEED WITH A BAG OF GOODS FOR THEIR NEWBORN INCLUDING BABY CLOTHES IN SIZES UP TO 12 MONTHS, DIAPERS, WIPES, BLANKETS, BABY STORYBOOKS, AND OTHER BABY ITEMS. PROVIDE BABY ITEMS (CLOTHES, BLANKETS,DIAPERS, WIPES, PLAYARDS, ETC.) TO MOTHERS OR FAMILIES REQUIRING ASSISTANCE. MANY OF OUR NONCASH BABY GOODS WE RECEIVE ARE GENTLY USED."
P30,"PROVIDE NEW PARENTS IN NEED WITH A BAG OF GOODS FOR THEIR NEWBORN INCLUDING BABY CLOTHES IN SIZES UP TO 12 MONTHS, DIAPERS, WIPES, BLANKETS, BABY STORYBOOKS, AND OTHER BABY ITEMS. PROVIDE BABY ITEMS (CLOTHES, BLANKETS,DIAPERS, WIPES, PLAYARDS, ETC.) TO MOTHERS OR FAMILIES REQUIRING ASSISTANCE. MANY OF OUR NONCASH BABY GOODS WE RECEIVE ARE GENTLY USED."
X99,PURCHASED A BUS TO TRANSPORT VET TO VARIOUS ACTIVITIES AND PROVIDE INSURANCE ON THAT BUS 2060PURCHASED PICTURES TO CREATE A HOME LIKE ATMOSPHERE 24830PROVIDE SPECIAL MEALS FOR VETS AND FAMILIES AND TO HONOR EMPLOYEES AND VOLUNTEERS 13579 TO PROVIDE FOR SOCIAL MORAL PHYSICAL AND EDUCATIONAL WELFARE OF VETS RESIDING AT MO VETS HOME WARRENSBURG. THIS IS ACCOMPLISHED THROUGH FUNDING OF PROGRAMS AND SVCS THAT DIRECTLY ENHANCE QUALITY OF LIFE AND SUPPORT ACTIVITIES OF VOLUNTEERS AND STAFF WHO PROVIDE OUTSTANDING CARE
X99,PROVIDE INSURANCE ON BUS PURCHASED PRIOR YEAR. PROVIDE SHOWER CHAIRS FOR USE BY VETS. PROVIDE SPECIAL MEALS FOR VETS AND FAMILIES AND HONOR VOLUNTEERS.SHOWER CHAIRS 6733FAMILY DAYS 9148R AND R FUND AND VOLUNTEER BANQUET 7994BUS INSURANCE 1326 TO PROVIDE FOR SOCIAL MORAL PHYSICAL AND EDUCATIONAL WELFARE OF VETS RESIDING AT MO VETS HOME WARRENSBURG. THIS IS ACCOMPLISHED THROUGH FUNDING OF PROGRAMS AND SVCS THAT DIRECTLY ENHANCE QUALITY OF LIFE AND SUPPORT ACTIVITIES OF VOLUNTEERS AND STAFF WHO PROVIDE OUTSTANDING CARE
F220,"TO ACCOMPLISH ITS MISSION PROVIDING OUTPATIENT, RESIDENTIAL, DETOX AND SATOP SERVICES. IMPROVE THE QUALITY OF LIFE IN THE INDIVIDUAL AND COMMUNITY BY EMPOWERING PEOPLE TO RECOVER FROM ADDICTIONS BY PROVIDING HIGH QUALITY, ACCESSIBLE AND AFFORDABLE SUBSTANCE ABUSE TREATMENT AND REHABILITATION SERVICES."
L220,RENTAL OF LIVING QUARTERS TO ELDERLY ADULTS TO PROVIDE LIVING QUARTERS FOR ELDERLY ADULTS
F33Z,"PROVIDED HOUSING, BOARD, ENTERTAINMENT & SOCIAL EVENTS FOR HANDICAPPED INDIVIDUALS WHO REQUIRE 24 HOUR SUPERVISION. COMPANY IS A SERVICE PROVIDER FOR MO DEPT OF MENTAL HEALTH. ASSISTANCE FOR THE DISABLED"
P33Z,"All operations are accounted for in a single general fund. Provide educational preschool child care for children of students, faculty and staff of Missouri State University as well as to provide a laboratory setting for students enrolled at Missouri State University."
P80,"See schedule oFocus: Focus Marines Foundation conducts four, multi-faceted, seven-day, transformative programs during the year to assist wounded Marines and Navy Corpsmen in their transition from the battlefield to civilian life. All costs, including air fare, lodging and meals are paid by FMF. To date, FMF has served over 700 warriors.Upon leaving the military, many warriors, especially those suffering physical wounds or the emotional wounds of PTS/TBI, experience depression and a lack of direction which can lead to confusion, despair and, tragically, suicide. These symptoms can persist over years if not properly addressed. During the week at FOCUS, participants are given the tools to build rewarding and meaningful lives. The program starts with an intense, introspective, 3-day workshop to recognize and purge negative tendencies and to embrace and overcome the difficulties of civilian life. Superb motivational speakers inspire participants to rise above their challenges, reject victimization, adopt positive habits, and recognize their inherent potential. Participants are coached in practical life skills such as networking, resume writing, mock interviews and other important talents. During the week, participants experience renewed hope and direction, develop positive characteristics, experience enhanced self-worth, and are re-committed to themselves and their families and friends. To develop and administer programs for wounded veterans which will assist (Con't on Sch O) (Con't from Form 990, Part I, Line 1) them in their transition to civilian lives"
B99Z,"MISSOURI QUALITY AWARD-THIS PROGRAM IS THE FLAG SHIP FOR THE FOUNDATION. THROUGH THE YEAR APPRX 159 VOLUNTEERS ARE PROVIDED 3+ DAYS OF TRAINING AND THEN WORK AS A TEAM TO REVIEW, PERFORM ANALYSIS AND ASSESS THE MQA APPLICATIONS TO CREATE A FEEDBACK REPORT WHICH WILL BE USED BY AN APPLICANT ORGANIZATION TO IMPROVE THEIR BUSINESS.IN ADDITION TO FEEDBACK, REPORT APPLICANTS ARE PROVIDED WITH ADDITIONAL EDUCATIONAL SERVICES BY THE FOUNDATION STAFF SUCH AS CRITERIA INTERPRETATIONS, FEEDBACK INTERPRETATION AND IDEAS FOR HOW TO IMPLEMENT CHANGES TO THEIR ORGANIZATION. The Excellence in Missouri Foundation's mission is to educate and recognize Missouri organizations in their pursuit of performance excellence using the Baldrige Management Model."
B99Z,"MISSOURI QUALITY AWARD-THIS PROGRAM IS THE FLAG SHIP FOR THE FOUNDATION. THROUGH THE YEAR APPRX 159 VOLUNTEERS ARE PROVIDED 3+ DAYS OF TRAINING AND THEN WORK AS A TEAM TO REVIEW, PERFORM ANALYSIS AND ASSESS THE MQA APPLICATIONS TO CREATE A FEEDBACK REPORT WHICH WILL BE USED BY AN APPLICANT ORGANIZATION TO IMPROVE THEIR BUSINESS.IN ADDITION TO FEEDBACK, REPORT APPLICANTS ARE PROVIDED WITH ADDITIONAL EDUCATIONAL SERVICES BY THE FOUNDATION STAFF SUCH AS CRITERIA INTERPRETATIONS, FEEDBACK INTERPRETATION AND IDEAS FOR HOW TO IMPLEMENT CHANGES TO THEIR ORGANIZATION. The Excellence in Missouri Foundation's mission is to educate and recognize Missouri organizations in their pursuit of performance excellence using the Baldrige Management Model."
B60,PROVIDE SECONDARY EDUCATION TO PROVIDE SECONDARY EDUCATION
B60,PROVIDE SECONDARY EDUCATION TO PROVIDE SECONDARY EDUCATION
R200,"GRANT ALLOCATION TO 21 MEMBER PROGRAMS TO PROVIDE TRAINED VOLUNTEERS FOR ABUSED AND NEGLECTED CHILDREN. MISSSOURI COURT APPOINTED SPECIAL ADVOCATE ASSOCIATION ADVOCATES FOR THE BEST INTEREST OF ABUSED AND NEGLECTED CHILDREN BY PROMOTING AND SUPPORTING THE DEVELOPMENT, GROWTH AND CONTINUATION OF QUALITY COURT APPOINTED SPECIAL ADVOCATE PROGRAMS AND SERVICES TO BENEFIT CHILDREN THROUGHOUT MISSOURI."
Y40,"Provided philanthropic events, housing, and social programs for the local social fraternity members - total of 97 members for the year. Local chapter of a national collegiate social fraternity."
G96,"We enhance the lives of people with neurological disorders by financially supporting collaborative research at the Hope Center for Neurological Disorders at Washington University School of Medicine. At this cutting-edge facility scientists seek new treatments and cures for disabling neurological disorders like ALS, Alzheimer's disease, autism, multiple sclerosis, Parkinson's disease, Huntington's disease, muscular dystrophy, cerebral palsy, epilepsy, stroke, brain and spinal cord injury, as well as many other neurological diseases. Our cross-disease, translational, and collaborative approach to research will lead to swifter results, and fundamental discoveries about one neurological disease will lead to treatments and cures in others. TO IMPROVE THE LIVES OF PEOPLE WITH NEURODEGENERATIVE DISORDERS BY PROMOTING COLLABORATIVE, TRANSLATIONAL RESEARCH WITH THE POTENTIAL TO FAST-TRACK NEW TREATMENTS AND CURES."
G96,"WE ENHANCE THE LIVES OF PEOPLE WITH NEUROLOGICAL DISORDERS BY FINANCIALLY SUPPORTING COLLABORATIVE RESEARCH AT THE HOPE CENTER FOR NEUROLOGICAL DISORDERS AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE. AT THIS CUTTING-EDGE FACILITY SCIENTISTS SEEK NEW TREATMENTS AND CURES FOR DISABLING NEUROLOGICAL DISORDERS LIKE ALS, ALZHEIMER'S DISEASE, AUTISM, MULTIPLE SCLEROSIS, PARKINSON'S DISEASE, HUNTINGTON'S DISEASE, MUSCULAR DYSTROPHY, CEREBRAL PALSY, EPILEPSY, STROKE, BRAIN AND SPINAL CORD INJURY, AS WELL AS MANY OTHER NEUROLOGICAL DISEASES. OUR CROSS-DISEASE, TRANSLATIONAL, AND COLLABORATIVE APPROACH TO RESEARCH WILL LEAD TO SWIFTER RESULTS, AND FUNDAMENTAL DISCOVERIES ABOUT ONE NEUROLOGICAL DISEASE WILL LEAD TO TREATMENTS AND CURES IN OTHERS. TO IMPROVE THE LIVES OF PEOPLE WITH NEURODEGENERATIVE DISORDERS BY PROMOTING COLLABORATIVE, TRANSLATIONAL RESEARCH WITH THE POTENTIAL TO FAST-TRACK NEW TREATMENTS AND CURES."
P28,TO PROVIDE EDUCATIONAL ASSISTANCE AND A SAFE RECREATIONAL ENVIRONMENT TO AT-RISK CHILDREN. TO PROVIDE EDUCATIONAL ASSISTANCE AND A SAFE RECREATIONAL ENVIRONMENT TO AT-RISK CHILDREN.
K30Z,"SERVED 40,488 MEALS TO POOR AND HUNGRY INDIVIDUALS FEEDING THE POOR AND HUNGRY"
K30Z,"SERVED 48,326 MEALS TO POOR AND HUNGRY INDIVIDUALS FEEDING THE POOR AND HUNGRY"
W30,"A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment. A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment."
W30,"A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment. A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment."
W30,"A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment. A collaborate effort among well established non-governmental organizations designed to provide complete and proactive support for members of all branches of the military and their families through pre-deployment, deployment, family reintegration and post-deployment."
K40,"NUTRION CENTER PROVIDING NOON MEALS FOR THE ELDERLY - BOTH CONGREGATE AND HOME DELIVERY THE CALDWELL NUTRITION CENTER MISSION STATEMENT IS TO PROVIDE SERVICES TO IMPROVE THE QUALITIY OF LIFE OF OLDER ADULTS THROUGH NUTRITION SERVICES, SOCIAL INTERACTION AND HEALTH SERVICES."
K40,"NUTRION CENTER PROVIDING NOON MEALS FOR THE ELDERLY - BOTH CONGREGATE AND HOME DELIVERY THE CALDWELL NUTRITION CENTER MISSION STATEMENT IS TO PROVIDE SERVICES TO IMPROVE THE QUALITIY OF LIFE OF OLDER ADULTS THROUGH NUTRITION SERVICES, SOCIAL INTERACTION AND HEALTH SERVICES."
W40,"The Loop Trolley Company (the Organization) is a not-for-profitMissouri corporation whose purpose is to create, implement andoperate a public street car system (the Loop Trolley Project) andto provide public education regarding vintage trolley systems.The Organization is currently collaborating with the followingmunicipalities, entities and organizations to develop the LoopTrolley Project:Federal Transit Administration (FTA)East-West Gateway Council of Governments (East-West Gateway)The Loop Trolley Transportation Development District (the TDD)METROCity of St. Louis, MissouriUniversity City, MissouriSt. Louis County, MissouriGreat Rivers GreenwayCitizens for Modern Transit (CMT)Missouri Department of TransportationThe TDD is constructing the Loop Trolley Project, which will establish a 2.2 mile fixed rail trolley line along Delmar Boulevard and DeBaliviere Avenue, extending from near the Delmar/Trinity Avenue intersection to the Missouri History Museum in Forest Park (the Trolley System). The TDD is responsible for managing contracts and the construction of the Loop Trolley project. All construction costs of the Loop Trolley shall be paid for by the TDD. The Organization is responsible, based on upon the executed Operating and Maintenance agreement with the TDD (see below) to provide funding to the TDD of approximately $12,975,000. The TDD and the Organization have mutually agreed (through the Operating and Maintenance agreement) that any cost overruns on the construction of the Loop Trolley Project are the sole responsibility of the TDD. The Loop Trolley Project is expected to begin service in Fall 2017. CREATION, PLANNING, FUNDING, PUBLIC EDUCATION, IMPLEMENTATION, CONSTRUCTION, AND OPERATION OF A PUBLIC NOT-FOR-PROFIT TROLLEY LINE OR LINES."
P20Z,"TO PROVIDE AID TO UNDERPRIVILEGED RESIDENTS LIVINGIN HARRISONVILLE, MO AND TO TRANSIENTS PASSINGTHROUGH HARRISONVILLE PROV AID-UNDERPRIV/TRANSIENTS"
R23Z,"TO SERVE AS A CENTRAL AGENCY FOR INFORMATION ON LEISURE, RECREATION AND SOCIALIZATION OPPORTUNITIES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WHO RESIDE IN THE GREATER ST LOUIS AREA. THE COUNCIL WORKS TO ENSURE THAT INDIVDUALS WITH DISABILITIES ARE AWARE OF AND HAVE ACCESS TO ACTIVITIES AND PROGRAMS OF THEIR CHOICE. RECREATION SERVICES"
B28Z,"GIANT STEPS PROVIDES A COMPREHENSIVE PROGRAM OF SPEECH, OCCUPATIONAL, MUSIC, AND SOCIAL COMMUNICATION THERAPIES AND SPECIALIZED ACADEMIC INSTRUCTION TO CHILDREN AND TEENS WITH AUTISM SPECTRUM DISORDERS. THE PROGRAM ADDRESSES AUTISM'S CORE DISABILITIES OF COMMUNICATION, SOCIAL INTERACTION AND BEHAVIORAL ADAPTABILITY, AS WELL AS CO-EXISTING PHYSICAL AND COGNITIVE DISABILITIES. GIANT STEPS IS CERTIFIED BY THE MISSOURI DEPARTMENT OF MENTAL HEALTH AS A PROVIDER OF AUTISM THERAPY FOR INDIVIDUALS BETWEEN THE AGES OF 3-21 AND BY THE MISSOURI AND ILLINOIS DEPARTMENTS OF ELEMENTARY AND SECONDARY EDUCATION AS AN EDUCATIONAL PROVIDER FOR THE SAME POPULATION. THE PROGRAM SERVES APPROXIMATELY 104 YOUNG PEOPLE EACH YEAR. THERAPEUTIC & EDUCATIONAL PROGRAM FOR SCHOOL-AGED CHILDREN WITH AUTISM SPECTRUM DISORDERS."
X20,"PROMOTED EDUCATION OF FAIR TRADE ACTIVITIES AND EDUCATED CONSUMERS TO RESPECT ETHNIC, RACIAL, RELIGIOUS AND SOCIO-ECINOMIC DIVERSITY AND DEVELOPED A FAITH COMMUNITY To bridge ethnic, racial, religious and socio-economic cultures by promoting sales of Fair Trade items and education of consumers to respect ethnic, racial and religious and cultural diversity."
C20,"Our purpose is to encourage and promote the economic, entrepreneurial, commercial, and civic development or redevelopment of a community or area, including construction-rehabilitation of housing that benefits the low-income residents of the communities we serve. Within this purpose, we have begun the development of a new senior citizen assisted living facility in Kansas City, Missouri urban core. The Organization was created to address senior housing, youth development, and community development needs in the Greater Kansas City, Missouri metropolitan area."
E30,"THE ORGANIZATION OWNS AND OPERATES AN OUTPATIENT MEDICAL IMAGING FACILITY AS PART OF THE SAINT LUKE'S HEALTH SYSTEM, AN INTEGRATED HEALTH CARE DELIVERY SYSTEM SERVING THE KANSAS CITY AREA AND SURROUNDING COMMUNITIES. THE ORGANIZATION IS COMMITTED TO THE HIGHEST LEVELS OF EXCELLENCE IN PROVIDING DIAGNOSTIC AS WELL AS THERAPEUTIC RADIOLOGY SERVICES TO ALL PATIENTS IN A CARING ENVIRONMENT REGARDLESS OF THEIR SOCIOECONOMIC STATUS. THE ORGANIZATION PARTICIPATES IN THE MEDICARE AND MEDICAID PROGRAMS AND FOLLOWS A CHARITY CARE POLICY. THE ORGANIZATION HAS BEEN RECOGNIZED FOR EXCELLENCE IN PATIENT CARE AND HIGH-QUALITY EXAMS WHICH HAVE BEEN ACCREDITED BY THE AMERICAN COLLEGE OF RADIOLOGY(ACR), IN MAGNETIC RESONANCE IMAGING, ULTRASOUND (SONOGRAMS) AND CAT SCAN OR COMPUTERIZED TOMOGRAPHY. OUTPATIENT MEDICAL IMAGING CENTER"
O52,THE RECIPIENTS OF THE FARM BUREAU SCHOLARSHIP PROGRAM SERVED AS THE FARM BUREAU STUDENT REPRESENTATIVE IN THE AGRICULTURAL COMMUNITY. THERE WERE 13 SCHOLARSHIP RECIPIENTS. TO ASSIST IN PROVIDING AGRICULTURAL RELATED EDUCATION TO ALL PERSONS AND DEVELOPING AGRICULTURAL LEADERS FOR THE FUTURE.
G43,"ME2HEALTH PROJECT: WORKING WITH ME2HEALTH, THE ""ASSESSING THE FEASIBILITY OF A SECURE, CLOUD- BASED PLATFORM TO RECEIVE PERSONAL HEALTH INFORMATION FROM AN ELECTRONIC HEALTH RECORD"" PROJECT SEEKS TO DEVELOP A USER INTERFACE, BACKEND FUNCTIONALITY, DATA TRANSFERS AND EASE OF USE FOR THE PATIENT/INSTITUTION TO SEAMLESSLY AND SECURELY SHARE INFORMATION TO MAXIMIZE PATIENT AWARENESS AND INVOLVEMENT IN HEALTHCARE DECISION-MAKING. THE INTENT WAS TO BUILD A TOOL THAT WOULD FUNDAMENTALLY PROMOTE PATIENT-CENTEREDNESS, STRENGTHEN CLINICAL CARE, ENABLE CONNECTIONS BETWEEN PATIENTS, SPAWN PATIENT COMMUNITIES, AND OPEN OPPORTUNITIES FOR PATIENTS TO CONTRIBUTE COMPREHENSIVE DATA TO RESEARCH ENDEAVORS. (ADD'L DESCRIP. CONT'D ON SCH O) THE APPROACH FOR THE PROJECT WAS DEVELOPED IN CONJUNCTION WITH YALE-NEW HAVEN HOSPITAL (""YNHH""), A SECTION 501(C)(3) HOSPITAL. THE ORGANIZATION, PURSUANT TO ITS AGREEMENT WITH ME2HEALTH, WORKED COLLABORATIVELY WITH YNHH TO DEVELOP THE RESEARCH PROJECT. THIS EPIC-BASED HEALTH SYSTEM IS ONE OF THE LARGEST IN THE COUNTRY AND CONTAINS THE NATION'S 5TH LARGEST HOSPITAL. THEY HAVE MORE THAN 110,000 DISCHARGES PER YEAR AND MORE THAN 1.6 MILLION OUTPATIENT ENCOUNTERS. THE APPROACH WAS TO USE YALE-NEW HAVEN HOSPITAL AS A LABORATORY TO OVERCOME THE CHALLENGES OF SENDING DIGITAL HEALTH DATA SECURELY FROM THE HOSPITAL SYSTEMS TO AN INDEPENDENT, CLOUD-BASED SYSTEM THAT ALLOWS AN INDIVIDUAL TO HAVE CONTROL OVER THEIR OWN DATA AND SHARE IT IF THEY WISH. THIS IS A PROOF OF CONCEPT PROJECT THAT HAS IMPLICATIONS FOR CLINICAL CARE AND RESEARCH. THE PRELIMINARY TOOLS DEVELOPED BY THE ORGANIZATION THROUGH THE ME2HEALTH AGREEMENT ALSO WERE USED BY YALE IN COLLABORATION WITH THE ORGANIZATION FOR OTHER RESEARCH PROJECTS. ONE PROPOSAL WAS THE YALE PARTICIPANT TECHNOLOGIES CENTER (YPTC) THAT WAS LED BY YALE UNIVERSITY AND IN PARTNERSHIP WITH UNIVERSITY OF CALIFORNIA SAN FRANCISCO, UNIVERSITY OF CHICAGO, ME2HEALTH, THE NATIONAL PARTNERSHIP OF WOMEN AND FAMILIES AND ACCENTURE. THIS WAS DESIGNED TO SUPPORT THE PRECISION MEDICINE INITIATIVE (PMI) BY ENABLING PEOPLE TO BECOME AUTHENTIC PARTNERS WITH RESEARCHERS TO PRODUCE RESEARCH DATABASES THAT CAN CONTRIBUTE TO SCIENTIFIC BREAKTHROUGHS AND BE PERSONALIZED TO EACH INDIVIDUAL. THE GRANT APPLICATION FOR THE PROJECT STATES THAT THE YPTC WILL DEVELOP, TEST, MAINTAIN AND UPGRADE THE PMI PLATFORM TO SUPPORT ENROLLMENT, CONSENT, DATA COLLECTION, COMMUNICATION, AND FEEDBACK; PROVIDE PARALLEL SYSTEMS FOR PARTICIPANTS WITHOUT CELL PHONES; COLLABORATE WITH TECHNOLOGY ENTITIES TO INCREASE SMARTPHONE ACCESSIBILITY; OBTAIN PASSIVE SENSOR TECHNOLOGIES FOR SELECTED PARTICIPANTS; EXTRACT MEANINGFUL AND INTEROPERABLE DATA FROM CURRENT TECHNOLOGIES; AND ASSIST THE PMI COORDINATING CENTER IN DATA ACQUISITION AND MANAGEMENT FROM PARTICIPANT TECHNOLOGIES. A SECOND PROJECT USING THE PRELIMINARY ME2HEALTH PRODUCT WAS WITH THE YALE CLINICAL AND TRANSLATIONAL SCIENCE AWARDS (CTSA). THE RESEARCH FOCUSED ON CONDUCTING PATIENT-CENTERED RESEARCH DEVELOPED IN PARTNERSHIP WITH YNHH. A PRODUCT WAS DEVELOPED THAT IS FREE TO PATIENTS, AUTO-POPULATED FROM ELECTRONIC HEALTH RECORDS. DEDICATION TO THE ADVANCEMENT OF OUTCOMES RESEARCH AND QUALITY ASSESSMENT/IMPROVEMENT IN CARDIOVASCULAR DISEASE."
